State,Program Name,Program Type,Eligibility Group,"If Other, Describe Eligibility Group","MCO, PIHP, or PAHP Name",MLR Reporting Period Start Date,MLR Reporting Period End Date,Report Year,MLR Numerator,MLR Denominator,State-Reported Member Months,Adjusted MLR,Remittance Dollar Amount for MLR Reporting Period
AL,Maternity Care Program,Other PIHP,All populations,,District 1,1/1/2018,12/31/2018,2018,2254490.0,2329022.0,894.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 11,1/1/2018,12/31/2018,2018,1633638.0,3940161.0,1493.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 13,1/1/2018,12/31/2018,2018,2862283.0,3286137.0,1762.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 14,1/1/2018,12/31/2018,2018,4921743.0,5776258.0,3390.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 2,1/1/2018,12/31/2018,2018,8351194.0,7977031.0,3062.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 3,1/1/2018,12/31/2018,2018,3543618.0,4628211.0,1927.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 5,1/1/2018,12/31/2018,2018,9573553.0,12154677.0,6379.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 6,1/1/2018,12/31/2018,2018,1395174.0,2257661.0,977.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 1,1/1/2019,9/30/2019,2019,1799334.0,1865302.0,716.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 11,1/1/2019,9/30/2019,2019,804105.0,1778747.0,674.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 13,1/1/2019,9/30/2019,2019,3003573.0,3651667.0,2214.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 14,1/1/2019,9/30/2019,2019,2122929.0,2486871.0,1726.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 2,1/1/2019,9/30/2019,2019,8351194.0,7977031.0,2206.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 3,1/1/2019,9/30/2019,2019,3543618.0,4628211.0,1477.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 5,1/1/2019,9/30/2019,2019,7619300.0,8909755.0,4643.0,,
AL,Maternity Care Program,Other PIHP,All populations,,District 6,1/1/2019,9/30/2019,2019,1395174.0,2257661.0,715.0,,
AR,ARDMC,Dental only,All populations,,Delta Dental Plan of Arkansas,1/1/2018,12/31/2018,2018,61979421.0,68465048.0,3332402.0,,
AR,ARDMC,Dental only,All populations,,MCNA,1/1/2018,12/31/2018,2018,63955727.0,66608743.0,3391934.0,,
AR,ARDMC,Dental only,All populations,,Delta Dental Plan of Arkansas Inc.,1/1/2019,12/31/2019,2019,65311570.0,69595805.0,3570421.0,,
AR,ARDMC,Dental only,All populations,,MCNA,1/1/2019,12/31/2019,2019,58903465.0,64187833.0,3356837.0,,
AR,PASSE,Comprehensive MCO + MLTSS,All populations,,Arkansas Total Care,1/1/2019,12/31/2019,2019,192324533.0,225428860.0,111317.0,,
AR,PASSE,Comprehensive MCO + MLTSS,All populations,,Empower,1/1/2019,12/31/2019,2019,287252013.0,340930497.0,180877.0,,
AR,PASSE,Comprehensive MCO + MLTSS,All populations,,Summit Community Care,1/1/2019,12/31/2019,2019,330968065.0,348690949.0,148108.0,,
AR,Dental Program,Dental only,All populations,,Delta Dental Plan of Arkansas Inc.,1/1/2020,12/31/2020,2020,52739902.0,64243864.0,3735889.0,,10904426.0
AR,Dental Program,Dental only,All populations,,MCNA Insurance Company,1/1/2020,12/31/2020,2020,47913380.0,58277807.0,3348771.0,,9475948.0
AR,PASSE,Comprehensive MCO + MLTSS,All populations,,Arkansas Total Care,1/1/2020,12/31/2020,2020,238559956.0,271672048.0,132221.0,,
